3,74.97,1,1
2,26.98,2,2
4,59.96,3,3
1,9.99,4,4
2,29.98,5,5
3,22.47,6,6
1,22.99,7,7
4,47.96,8,8
2,17.58,9,9
3,35.97,10,10
1,11.99,11,11
2,29.58,12,12
3,44.97,13,13
1,9.99,14,14
2,29.98,15,15
3,22.47,16,16
1,22.99,17,17
4,47.96,18,18
2,17.58,19,19
3,35.97,20,20
1,11.99,21,21
2,29.58,22,22
3,44.97,23,23
1,9.99,24,24
2,29.98,25,25
3,22.47,26,26
1,22.99,27,27
4,47.96,28,28
2,17.58,29,29
3,35.97,30,30
1,11.99,31,31
2,29.58,32,32
3,44.97,33,33
1,9.99,34,34
2,29.98,35,35
3,22.47,36,36
1,22.99,37,37
4,47.96,38,38
2,17.58,39,39
3,35.97,40,40
1,11.99,41,41
2,29.58,42,42
3,44.97,43,43
1,9.99,44,44
2,29.98,45,45
3,22.47,46,46
1,22.99,47,47
4,47.96,48,48
2,17.58,49,49
3,35.97,50,50
