1,Aspirina,Analgésico,100,5.99,500,0,0
2,Ibuprofeno,Antiinflamatorio,200,7.49,300,0,0
3,Paracetamol,Analgésico,500,4.99,800,0,0
4,Amoxicilina,Antibiótico,250,9.99,200,0,0
5,Omeprazol,Antiácido,20,6.79,400,0,0
6,Atorvastatina,Estatina,10,12.99,150,0,0
7,Losartán,Antihipertensivo,50,8.49,250,0,0
8,Loratadina,Antihistamínico,10,6.29,350,0,0
9,Metformina,Antidiabético,500,7.99,400,0,0
10,Ciprofloxacino,Antibiótico,500,11.99,100,0,0
11,Risperidona,Antipsicótico,2,15.49,80,0,0
12,Sertralina,Antidepresivo,50,14.79,120,0,0
13,Gabapentina,Antiepiléptico,300,10.99,150,0,0
14,Fluoxetina,Antidepresivo,20,9.79,100,0,0
15,Diazepam,Ansiolítico,5,8.99,90,0,0
16,Codeína,Analgésico,30,11.99,60,0,0
17,Metoprolol,Beta-bloqueante,50,7.49,180,0,0
18,Prednisona,Corticoesteroide,10,6.99,120,0,0
19,Escitalopram,Antidepresivo,10,14.99,100,0,0
20,Clonazepam,Ansiolítico,1,12.29,75,0,0
21,Furosemida,Diurético,40,6.99,200,0,0
22,Metoclopramida,Antiemético,10,5.49,150,0,0
23,Amlodipino,Antihipertensivo,5,8.79,220,0,0
24,Simvastatina,Estatina,20,10.49,110,0,0
25,Tramadol,Analgésico,50,13.99,90,0,0
26,Lisinopril,Antihipertensivo,10,7.99,180,0,0
27,Metronidazol,Antibiótico,250,6.29,160,0,0
28,Lorazepam,Ansiolítico,2,9.99,80,0,0
29,Valsartán,Antihipertensivo,80,11.29,120,0,0
30,Ranitidina,Antiácido,150,5.99,250,0,0
31,Atenolol,Beta-bloqueante,25,6.79,200,0,0
32,Cetirizina,Antihistamínico,10,5.49,300,0,0
33,Levotiroxina,Hormona Tiroidea,100,9.99,100,0,0
34,Warfarina,Anticoagulante,5,8.49,150,0,0
35,Enalapril,Antihipertensivo,10,7.49,180,0,0
36,Prednisolona,Corticoesteroide,5,7.29,120,0,0
37,Cefuroxima,Antibiótico,250,11.99,80,0,0
38,Alprazolam,Ansiolítico,0.5,12.99,70,0,0
39,Aripiprazol,Antipsicótico,10,14.99,60,0,0
40,Escitalopram,Antidepresivo,20,16.99,90,0,0
41,Metilfenidato,Estimulante,10,17.49,50,0,0
42,Acetaminofén,Analgésico,500,5.49,400,0,0
43,Fluconazol,Antifúngico,150,9.99,120,0,0
44,Lisinopril,Antihipertensivo,20,8.79,220,0,0
45,Rabeprazol,Antiácido,20,7.79,180,0,0
46,Tamsulosina,Bloqueador Alfa,0.4,6.99,150,0,0
47,Metformina,Antidiabético,1000,11.49,100,0,0
48,Tadalafilo,Inhibidor PDE5,20,14.99,80,0,0
49,Amoxicilina,Antibiótico,500,9.99,160,0,0
50,Atorvastatina,Estatina,40,15.49,70,0,0
51,Metoprolol,Beta-bloqueante,100,11.99,90,0,0
